BOOKING_ID,LISTING_ID,BOOKING_DATE,NIGHTS_BOOKED,BOOKING_AMOUNT,CLEANING_FEE,SERVICE_FEE,CANCELLATION_FEE,BOOKING_STATUS,STAY_START_DATE,CREATED_AT,UPDATED_AT
93f50853-7c1b-44cf-8edf-2f82bd11950d,44,2023-09-28 00:00:00,6,396.0,91,47.52,39.6,cancelled,2024-01-10 00:00:00,2023-09-27 04:00:00,2023-09-27 04:00:00
bb55fbb4-bce4-41c6-9442-4438ba69165b,59,2024-01-21 00:00:00,9,1496.25,58,179.55,149.62,cancelled,2024-04-24 00:00:00,2024-01-20 22:00:00,2024-01-20 22:00:00
2eb2fc5f-7fcf-491c-9255-397785fc2a24,395,2024-02-19 00:00:00,12,6720.0,141,806.4,672.0,cancelled,2024-03-06 00:00:00,2024-02-18 20:00:00,2024-02-18 20:00:00
2a42e40a-bf5e-4dac-9441-cd1400631669,385,2023-08-16 00:00:00,7,1568.0,134,188.16,156.8,cancelled,2023-12-02 00:00:00,2023-08-15 07:00:00,2023-08-15 07:00:00
1e1fb20a-4f5a-4972-a6ba-f52883f3408b,306,2024-01-12 00:00:00,13,1638.0,66,196.56,0.0,confirmed,2024-03-25 00:00:00,2024-01-11 11:00:00,2024-01-11 11:00:00
62bd37d1-508d-4cd2-966f-c07b6f65ab24,75,2024-06-17 00:00:00,2,280.0,121,33.6,0.0,confirmed,2024-07-09 00:00:00,2024-06-16 10:00:00,2024-06-16 10:00:00
651c0e77-e356-416d-bec8-2c4148a95482,108,2024-03-06 00:00:00,10,453.8,49,54.46,0.0,confirmed,2024-06-18 00:00:00,2024-03-05 05:00:00,2024-03-05 05:00:00
4fd53be7-fdb8-49aa-abd0-34172dd79dcc,112,2023-08-16 00:00:00,4,1584.0,86,190.08,0.0,confirmed,2023-12-17 00:00:00,2023-08-15 07:00:00,2023-08-15 07:00:00
b6bbc154-010d-4708-ba43-0189f96cbb58,166,2023-12-25 00:00:00,7,1606.5,148,192.78,160.65,cancelled,2024-03-10 00:00:00,2023-12-24 03:00:00,2023-12-24 03:00:00
e75b3e28-9928-4e16-90b4-0d546d0430a2,182,2023-11-18 00:00:00,9,2070.0,81,248.4,0.0,confirmed,2024-02-15 00:00:00,2023-11-17 17:00:00,2023-11-17 17:00:00
d013096e-1d16-49cf-9081-cc3f03ed3057,243,2023-12-27 00:00:00,14,1232.0,115,147.84,123.2,cancelled,2024-04-23 00:00:00,2023-12-26 06:00:00,2023-12-26 06:00:00
53dc52cd-fe84-4423-bf52-2ae1119a4692,223,2023-12-27 00:00:00,7,630.0,90,75.6,0.0,confirmed,2024-04-06 00:00:00,2023-12-26 21:00:00,2023-12-30 21:00:00
887cee23-ef3f-4c6b-a66a-56d5e9c5ee07,484,2024-02-04 00:00:00,9,1755.0,131,210.6,0.0,confirmed,2024-05-19 00:00:00,2024-02-03 00:00:00,2024-02-03 00:00:00
70db52a8-fbc4-4231-b208-17570c29ce3f,174,2023-10-12 00:00:00,1,294.0,104,35.28,0.0,confirmed,2024-03-13 00:00:00,2023-10-11 15:00:00,2023-10-11 15:00:00
0330d469-fdfa-46d2-bd85-1bcad7eadcaf,315,2023-07-26 00:00:00,2,1248.0,101,149.76,124.8,cancelled,2023-12-05 00:00:00,2023-07-25 19:00:00,2023-07-25 19:00:00
