BOOKING_ID,LISTING_ID,BOOKING_DATE,NIGHTS_BOOKED,BOOKING_AMOUNT,CLEANING_FEE,SERVICE_FEE,CANCELLATION_FEE,BOOKING_STATUS,STAY_START_DATE,CREATED_AT,UPDATED_AT
77fbfc07-1dba-400b-a2d2-058b6d34f04f,350,2023-03-01,2,360.8,66,43.3,36.08,cancelled,2023-06-26,2023-02-28 15:00:00,2023-02-28 15:00:00
a485a0e2-e1fe-4ee3-bc2a-a9eab98ce8ea,1998,2023-03-01,3,1137.75,60,136.53,113.78,cancelled,2023-05-19,2023-02-28 16:00:00,2023-03-03 16:00:00
ed5c513c-88d6-4fce-9e37-4a71bec46a97,1466,2023-03-01,2,295.2,96,35.42,0.0,confirmed,2023-05-09,2023-02-28 23:00:00,2023-02-28 23:00:00
c3ef5609-4e1f-4b44-ae47-6b8f76f975b4,566,2023-03-01,6,780.0,36,93.6,0.0,confirmed,2023-03-28,2023-02-28 16:00:00,2023-02-28 16:00:00
130a2cf2-757f-4e6e-856b-ea31df99ac8b,231,2023-03-01,4,787.2,38,94.46,0.0,confirmed,2023-05-11,2023-02-28 16:00:00,2023-02-28 16:00:00
f82cf74d-81b0-4cf5-ae15-a6542cf2e023,1930,2023-03-01,2,1966.5,93,235.98,0.0,confirmed,2023-06-02,2023-02-28 21:00:00,2023-02-28 21:00:00
04a1ddec-efa3-4ec9-8483-71719e2ce33e,819,2023-03-01,3,2121.75,86,254.61,212.18,cancelled,2023-05-25,2023-02-28 14:00:00,2023-03-04 14:00:00
b2b4466d-a866-46ee-becc-19118add40c8,769,2023-03-01,2,397.5,90,47.7,0.0,confirmed,2023-06-06,2023-02-28 12:00:00,2023-02-28 12:00:00
97d0e7c3-a1d8-4ff3-ad9f-3450d057847e,1191,2023-03-01,5,1638.75,90,196.65,0.0,confirmed,2023-06-22,2023-02-28 12:00:00,2023-02-28 12:00:00
151383a5-d65f-480b-9ac5-e9f1fcad785b,7,2023-03-01,1,264.5,96,31.74,0.0,confirmed,2023-03-21,2023-02-28 22:00:00,2023-02-28 22:00:00
758eb46c-b8d6-49ac-b7a8-c353af67aa6c,1129,2023-03-01,4,989.0,88,118.68,98.9,cancelled,2023-05-21,2023-02-28 14:00:00,2023-02-28 14:00:00
5ff03ca8-dc8c-4099-9e96-7f06a15f9fd2,1956,2023-03-01,7,2495.5,70,299.46,249.55,cancelled,2023-05-24,2023-02-28 16:00:00,2023-02-28 16:00:00
94530764-d41d-4603-a09b-532e0bb665c1,806,2023-03-01,10,2009.0,59,241.08,200.9,cancelled,2023-05-10,2023-02-28 16:00:00,2023-02-28 16:00:00
b9b2d22e-cd43-408a-8058-c137908008ca,625,2023-03-01,9,2070.0,50,248.4,207.0,cancelled,2023-06-04,2023-02-28 13:00:00,2023-02-28 13:00:00
c87bf44a-dbc4-45e7-a40e-3b427b8af063,1171,2023-03-01,9,2180.25,37,261.63,0.0,confirmed,2023-03-16,2023-02-28 18:00:00,2023-03-02 18:00:00
74e0eb5e-5707-48f8-8748-7c04ab94d841,284,2023-03-02,4,1016.8,36,122.02,0.0,confirmed,2023-05-19,2023-03-01 15:00:00,2023-03-01 15:00:00
e304f813-2633-4dbd-ae01-4351bb772b4e,1849,2023-03-02,2,307.5,59,36.9,30.75,cancelled,2023-03-22,2023-03-01 17:00:00,2023-03-01 17:00:00
31771625-6545-4d21-97ca-0b0b3c5b986c,1163,2023-03-02,9,5301.0,88,636.12,0.0,confirmed,2023-06-04,2023-03-01 12:00:00,2023-03-01 12:00:00
69b9a050-a327-4df9-acd4-a35bec7a8a70,1792,2023-03-02,3,1140.0,96,136.8,0.0,confirmed,2023-04-13,2023-03-01 16:00:00,2023-03-01 16:00:00
906c17fd-ab3d-4526-bcb6-f716aa11550b,300,2023-03-02,10,4370.0,61,524.4,0.0,confirmed,2023-03-06,2023-03-01 23:00:00,2023-03-01 23:00:00
477a0205-444d-4e97-ab87-c98c85425561,40,2023-03-02,10,900.0,48,108.0,90.0,cancelled,2023-06-09,2023-03-01 16:00:00,2023-03-01 16:00:00
411e06fd-63b3-4def-8361-4475095ba95f,1638,2023-03-02,3,565.8,31,67.9,56.58,cancelled,2023-05-05,2023-03-01 19:00:00,2023-03-01 19:00:00
6b8115dd-00f3-4d42-ad83-c63c7428620c,677,2023-03-02,10,2112.0,91,253.44,0.0,confirmed,2023-05-04,2023-03-01 13:00:00,2023-03-05 13:00:00
b060fdad-0b90-4c4f-931d-e6f0c8746628,492,2023-03-02,3,1207.5,39,144.9,120.75,cancelled,2023-05-15,2023-03-01 19:00:00,2023-03-01 19:00:00
