listing_id,host_id,property_type,room_type,city,country,accommodates,bedrooms,bathrooms,price_per_night,created_at,updated_at
1,140,Condo,Entire home,Auckland,New Zealand,7,3,2.5,444.0,2023-01-25 00:00:00,2023-08-23 00:00:00
2,142,Loft,Entire home,Bangkok,Thailand,5,2,1.5,218.5,2023-01-30 00:00:00,2023-07-26 00:00:00
3,75,Boutique Hotel,Entire home,Bangkok,Thailand,7,3,2.5,327.75,2023-01-28 00:00:00,2024-01-05 00:00:00
4,259,Apartment,Entire home,London,United Kingdom,9,4,3.5,526.75,2023-01-30 00:00:00,2023-10-17 00:00:00
5,304,House,Entire home,Sydney,Australia,5,2,1.5,440.75,2023-01-30 00:00:00,2024-08-23 00:00:00
6,13,Boutique Hotel,Entire home,Mumbai,India,3,1,1.0,233.2,2023-01-16 00:00:00,2024-05-29 00:00:00
7,62,Loft,Entire home,Warsaw,Poland,5,2,1.5,264.5,2023-01-31 00:00:00,2024-08-23 00:00:00
8,199,Boutique Hotel,Entire home,Sydney,Australia,3,1,1.0,543.25,2023-01-17 00:00:00,2023-07-03 00:00:00
9,89,Condo,Entire home,Singapore,Singapore,9,4,3.5,714.0,2023-02-08 00:00:00,2023-12-04 00:00:00
10,349,House,Entire home,London,United Kingdom,5,2,1.5,462.25,2023-02-04 00:00:00,2023-07-04 00:00:00
11,466,Apartment,Entire home,Suva,Fiji,3,1,1.0,137.5,2023-02-15 00:00:00,2024-07-23 00:00:00
12,360,Condo,Entire home,Mumbai,India,5,2,1.5,176.0,2023-01-26 00:00:00,2023-08-24 00:00:00
13,448,Condo,Entire home,Bangkok,Thailand,3,1,1.0,152.0,2023-02-06 00:00:00,2024-01-08 00:00:00
14,433,Apartment,Entire home,Cape Town,South Africa,5,2,1.5,161.7,2023-02-09 00:00:00,2024-07-09 00:00:00
15,424,Condo,Entire home,Auckland,New Zealand,3,1,1.0,296.0,2023-01-28 00:00:00,2024-07-21 00:00:00
16,349,Loft,Entire home,London,United Kingdom,7,3,2.5,580.5,2023-01-30 00:00:00,2023-10-02 00:00:00
17,260,Boutique Hotel,Entire home,Berlin,Germany,5,2,1.5,564.25,2023-01-09 00:00:00,2024-05-28 00:00:00
18,367,Apartment,Entire home,Mexico City,Mexico,5,2,1.5,173.25,2023-01-14 00:00:00,2024-07-28 00:00:00
19,412,Loft,Entire home,Bangkok,Thailand,3,1,1.0,180.5,2023-02-06 00:00:00,2024-06-01 00:00:00
20,498,Loft,Entire home,Livingstone,Zambia,5,2,1.5,165.6,2023-02-01 00:00:00,2024-09-12 00:00:00
21,64,House,Entire home,Berlin,Germany,3,1,1.0,323.75,2023-02-13 00:00:00,2024-05-18 00:00:00
22,85,Boutique Hotel,Entire home,Santiago,Chile,7,3,2.5,303.6,2023-02-15 00:00:00,2024-05-23 00:00:00
23,332,Boutique Hotel,Entire home,Marrakech,Morocco,5,2,1.5,250.1,2023-02-05 00:00:00,2023-12-26 00:00:00
24,199,Condo,Entire home,Sydney,Australia,7,3,2.5,492.0,2023-02-13 00:00:00,2024-03-22 00:00:00
25,224,Apartment,Entire home,Bangkok,Thailand,9,4,3.5,232.75,2023-01-22 00:00:00,2023-07-14 00:00:00
26,321,Apartment,Entire home,Cape Town,South Africa,3,1,1.0,122.5,2023-01-15 00:00:00,2024-05-09 00:00:00
27,288,Apartment,Entire home,Rio de Janeiro,Brazil,5,2,1.5,148.5,2023-02-05 00:00:00,2024-03-17 00:00:00
28,52,Apartment,Entire home,Seoul,South Korea,9,4,3.5,428.75,2023-01-28 00:00:00,2024-08-08 00:00:00
29,160,House,Entire home,Berlin,Germany,9,4,3.5,545.75,2023-01-05 00:00:00,2024-03-04 00:00:00
30,87,Loft,Entire home,Montego Bay,Jamaica,7,3,2.5,310.5,2023-01-16 00:00:00,2023-05-03 00:00:00
31,199,Boutique Hotel,Entire home,Sydney,Australia,5,2,1.5,625.25,2023-02-13 00:00:00,2024-08-17 00:00:00
32,156,Apartment,Entire home,Livingstone,Zambia,5,2,1.5,118.8,2023-01-11 00:00:00,2023-08-22 00:00:00
33,2,House,Entire home,Marrakech,Morocco,5,2,1.5,176.3,2023-02-12 00:00:00,2024-04-18 00:00:00
34,144,Apartment,Entire home,Paris,France,5,2,1.5,371.25,2023-01-28 00:00:00,2024-01-16 00:00:00
35,469,Boutique Hotel,Entire home,Singapore,Singapore,7,3,2.5,879.75,2023-01-23 00:00:00,2023-06-06 00:00:00
36,64,Loft,Entire home,Berlin,Germany,5,2,1.5,425.5,2023-01-12 00:00:00,2024-05-02 00:00:00
37,220,House,Entire home,London,United Kingdom,9,4,3.5,634.25,2023-02-04 00:00:00,2024-03-06 00:00:00
38,192,Apartment,Entire home,Cairo,Egypt,9,4,3.5,159.25,2023-01-14 00:00:00,2023-11-09 00:00:00
39,387,Boutique Hotel,Entire home,Rio de Janeiro,Brazil,3,1,1.0,238.5,2023-01-08 00:00:00,2023-06-11 00:00:00
40,53,Apartment,Entire home,Buenos Aires,Argentina,3,1,1.0,90.0,2023-01-15 00:00:00,2024-06-24 00:00:00
41,127,Loft,Entire home,Cairo,Egypt,9,4,3.5,201.5,2023-01-26 00:00:00,2024-02-06 00:00:00
42,380,Condo,Entire home,Mexico City,Mexico,5,2,1.5,210.0,2023-01-29 00:00:00,2024-08-03 00:00:00
43,186,Condo,Entire home,Swakopmund,Namibia,7,3,2.5,211.2,2023-01-16 00:00:00,2023-09-27 00:00:00
44,69,Condo,Entire home,Mumbai,India,3,1,1.0,140.8,2023-02-05 00:00:00,2024-02-18 00:00:00
45,90,Boutique Hotel,Entire home,Rome,Italy,5,2,1.5,533.75,2023-01-20 00:00:00,2024-01-12 00:00:00
46,350,House,Entire home,Livingstone,Zambia,5,2,1.5,154.8,2023-02-01 00:00:00,2023-09-27 00:00:00
47,94,Boutique Hotel,Entire home,Madrid,Spain,7,3,2.5,534.75,2023-01-10 00:00:00,2024-02-10 00:00:00
48,351,Condo,Entire home,Berlin,Germany,3,1,1.0,296.0,2023-02-09 00:00:00,2024-04-17 00:00:00
49,220,Apartment,Entire home,London,United Kingdom,9,4,3.5,526.75,2023-01-18 00:00:00,2024-05-18 00:00:00
50,51,Loft,Entire home,Dublin,Ireland,9,4,3.5,635.5,2023-01-17 00:00:00,2024-07-14 00:00:00
51,163,Apartment,Entire home,Buenos Aires,Argentina,3,1,1.0,90.0,2023-01-06 00:00:00,2024-05-24 00:00:00
52,332,Condo,Entire home,Marrakech,Morocco,7,3,2.5,196.8,2023-01-13 00:00:00,2023-12-26 00:00:00
53,124,Condo,Entire home,Berlin,Germany,7,3,2.5,444.0,2023-01-23 00:00:00,2024-07-30 00:00:00
54,288,House,Entire home,Rio de Janeiro,Brazil,9,4,3.5,265.5,2023-02-13 00:00:00,2023-06-30 00:00:00
55,423,House,Entire home,Lima,Peru,3,1,1.0,131.25,2023-01-21 00:00:00,2023-12-11 00:00:00
56,66,Loft,Entire home,Livingstone,Zambia,5,2,1.5,165.6,2023-01-21 00:00:00,2023-10-03 00:00:00
57,258,House,Entire home,Montego Bay,Jamaica,3,1,1.0,201.25,2023-01-31 00:00:00,2023-10-28 00:00:00
58,377,Condo,Entire home,Swakopmund,Namibia,3,1,1.0,140.8,2023-02-08 00:00:00,2024-02-27 00:00:00
59,63,Condo,Entire home,London,United Kingdom,3,1,1.0,344.0,2023-01-24 00:00:00,2024-06-06 00:00:00
60,126,Condo,Entire home,Buenos Aires,Argentina,9,4,3.5,201.6,2023-01-15 00:00:00,2023-11-04 00:00:00
61,251,Apartment,Entire home,Rome,Italy,5,2,1.5,288.75,2023-01-21 00:00:00,2024-06-05 00:00:00
62,288,Boutique Hotel,Entire home,Rio de Janeiro,Brazil,7,3,2.5,310.5,2023-01-28 00:00:00,2024-03-24 00:00:00
63,61,Loft,Entire home,Lima,Peru,3,1,1.0,142.5,2023-01-03 00:00:00,2024-01-21 00:00:00
64,141,Loft,Entire home,Santiago,Chile,3,1,1.0,167.2,2023-02-10 00:00:00,2024-03-01 00:00:00
65,374,House,Entire home,Livingstone,Zambia,3,1,1.0,126.0,2023-01-22 00:00:00,2024-08-24 00:00:00
66,42,Condo,Entire home,Buenos Aires,Argentina,5,2,1.5,144.0,2023-02-10 00:00:00,2023-12-31 00:00:00
67,9,Condo,Entire home,Madrid,Spain,9,4,3.5,434.0,2023-01-08 00:00:00,2024-03-10 00:00:00
68,386,Condo,Entire home,Madrid,Spain,5,2,1.5,310.0,2023-01-01 00:00:00,2024-03-27 00:00:00
69,398,Apartment,Entire home,Santiago,Chile,7,3,2.5,180.4,2023-02-08 00:00:00,2023-07-19 00:00:00
70,371,Condo,Entire home,Paris,France,9,4,3.5,630.0,2023-01-01 00:00:00,2023-07-14 00:00:00
71,376,House,Entire home,Swakopmund,Namibia,7,3,2.5,224.4,2023-01-20 00:00:00,2023-08-25 00:00:00
72,24,Boutique Hotel,Entire home,Rio de Janeiro,Brazil,5,2,1.5,274.5,2023-01-02 00:00:00,2024-06-23 00:00:00
73,133,Apartment,Entire home,Tokyo,Japan,9,4,3.5,465.5,2023-01-30 00:00:00,2024-01-01 00:00:00
74,443,Loft,Entire home,Cape Town,South Africa,9,4,3.5,303.8,2023-01-22 00:00:00,2023-07-03 00:00:00
75,303,Condo,Entire home,Mumbai,India,7,3,2.5,211.2,2023-01-08 00:00:00,2024-02-17 00:00:00
76,359,House,Entire home,Singapore,Singapore,9,4,3.5,752.25,2023-02-08 00:00:00,2024-01-24 00:00:00
77,476,Boutique Hotel,Entire home,Madrid,Spain,9,4,3.5,596.75,2023-01-05 00:00:00,2023-10-08 00:00:00
78,370,Boutique Hotel,Entire home,Lima,Peru,3,1,1.0,198.75,2023-02-08 00:00:00,2024-03-12 00:00:00
79,264,Condo,Entire home,Montego Bay,Jamaica,9,4,3.5,322.0,2023-01-16 00:00:00,2023-11-06 00:00:00
80,212,Apartment,Entire home,Lima,Peru,5,2,1.5,123.75,2023-01-30 00:00:00,2024-06-22 00:00:00
81,350,Condo,Entire home,Livingstone,Zambia,9,4,3.5,201.6,2023-01-23 00:00:00,2024-05-31 00:00:00
82,146,House,Entire home,Mumbai,India,9,4,3.5,259.6,2023-02-12 00:00:00,2024-06-05 00:00:00
83,31,Apartment,Entire home,Paris,France,7,3,2.5,461.25,2023-01-29 00:00:00,2023-09-15 00:00:00
84,29,House,Entire home,Mumbai,India,7,3,2.5,224.4,2023-02-06 00:00:00,2024-09-16 00:00:00
85,351,Apartment,Entire home,Berlin,Germany,7,3,2.5,379.25,2023-01-25 00:00:00,2024-05-27 00:00:00
86,302,Loft,Entire home,Suva,Fiji,9,4,3.5,341.0,2023-01-09 00:00:00,2023-06-04 00:00:00
87,413,Boutique Hotel,Entire home,Sydney,Australia,5,2,1.5,625.25,2023-02-01 00:00:00,2024-07-02 00:00:00
